,cust,grade,var2,startDate,mev,t,y
1,1,1,0,40,-1,1,0
2,1,1,0,40,-1,2,0
3,1,1,0,40,-1,3,0
4,1,1,0,40,-1,4,1
5,1,1,0,40,-1,5,1
6,1,1,0,40,-1,6,2
7,1,1,0,40,-1,7,0
8,1,1,0,40,-1,8,0
9,1,1,0,40,-1,9,0
10,1,1,0,40,-1,10,1
11,1,1,0,40,-1,11,0
12,1,1,0,40,-1,12,0
13,1,1,0,40,-1,13,0
14,1,1,0,40,-1,14,0
15,1,1,0,40,-1,15,1
16,1,1,0,40,-1,16,1
17,1,1,0,40,-1,17,1
18,1,1,0,40,-1,18,0
19,1,1,0,40,-1,19,0
20,1,1,0,40,-1,20,0
21,1,1,0,40,-1,21,0
22,1,1,0,40,1,22,1
23,1,1,0,40,-1,23,3
24,1,1,0,40,1,24,2
25,2,1,1,20,1,1,0
26,2,1,1,20,1,2,1
27,2,1,1,20,1,3,1
28,2,1,1,20,1,4,1
29,2,1,1,20,1,5,1
30,2,1,1,20,1,6,0
31,2,1,1,20,1,7,1
32,2,1,1,20,1,8,2
33,2,1,1,20,1,9,0
34,2,1,1,20,-1,10,1
35,2,1,1,20,1,11,0
36,2,1,1,20,1,12,1
37,2,1,1,20,-1,13,0
38,2,1,1,20,-1,14,0
39,2,1,1,20,-1,15,0
40,2,1,1,20,-1,16,2
41,2,1,1,20,-1,17,0
42,2,1,1,20,-1,18,0
43,2,1,1,20,-1,19,1
44,2,1,1,20,-1,20,3
45,2,1,1,20,-1,21,2
46,2,1,1,20,-1,22,2
47,2,1,1,20,-1,23,2
48,2,1,1,20,-1,24,3
49,3,1,0,44,-1,1,1
50,3,1,0,44,-1,2,1
51,3,1,0,44,-1,3,0
52,3,1,0,44,-1,4,0
53,3,1,0,44,-1,5,0
54,3,1,0,44,-1,6,0
55,3,1,0,44,-1,7,2
56,3,1,0,44,-1,8,3
57,3,1,0,44,-1,9,3
58,3,1,0,44,-1,10,3
59,3,1,0,44,-1,11,2
60,3,1,0,44,-1,12,2
61,3,1,0,44,-1,13,1
62,3,1,0,44,-1,14,0
63,3,1,0,44,-1,15,0
64,3,1,0,44,-1,16,0
65,3,1,0,44,-1,17,0
66,3,1,0,44,1,18,1
67,3,1,0,44,-1,19,0
68,3,1,0,44,1,20,2
69,3,1,0,44,1,21,2
70,3,1,0,44,1,22,3
71,3,1,0,44,1,23,2
72,3,1,0,44,1,24,3
73,4,1,0,14,1,1,0
74,4,1,0,14,1,2,1
75,4,1,0,14,1,3,0
76,4,1,0,14,1,4,2
77,4,1,0,14,1,5,3
78,4,1,0,14,1,6,1
79,4,1,0,14,1,7,1
80,4,1,0,14,1,8,0
81,4,1,0,14,1,9,0
82,4,1,0,14,1,10,0
83,4,1,0,14,1,11,1
84,4,1,0,14,1,12,1
85,4,1,0,14,1,13,1
86,4,1,0,14,1,14,0
87,4,1,0,14,1,15,1
88,4,1,0,14,-1,16,0
89,4,1,0,14,1,17,1
90,4,1,0,14,1,18,1
91,4,1,0,14,-1,19,0
92,4,1,0,14,-1,20,0
93,4,1,0,14,-1,21,0
94,4,1,0,14,-1,22,1
95,4,1,0,14,-1,23,1
96,4,1,0,14,-1,24,0
97,5,1,0,20,1,1,1
98,5,1,0,20,1,2,1
99,5,1,0,20,1,3,2
100,5,1,0,20,1,4,1
101,5,1,0,20,1,5,1
102,5,1,0,20,1,6,2
103,5,1,0,20,1,7,2
104,5,1,0,20,1,8,3
105,5,1,0,20,1,9,3
106,5,1,0,20,-1,10,2
107,5,1,0,20,1,11,1
108,5,1,0,20,1,12,3
109,5,1,0,20,-1,13,3
110,5,1,0,20,-1,14,3
111,5,1,0,20,-1,15,3
112,5,1,0,20,-1,16,1
113,5,1,0,20,-1,17,1
114,5,1,0,20,-1,18,0
115,5,1,0,20,-1,19,0
116,5,1,0,20,-1,20,1
117,5,1,0,20,-1,21,2
118,5,1,0,20,-1,22,1
119,5,1,0,20,-1,23,1
120,5,1,0,20,-1,24,1
121,6,1,1,14,1,1,1
122,6,1,1,14,1,2,0
123,6,1,1,14,1,3,0
124,6,1,1,14,1,4,1
125,6,1,1,14,1,5,1
126,6,1,1,14,1,6,1
127,6,1,1,14,1,7,0
128,6,1,1,14,1,8,2
129,6,1,1,14,1,9,2
130,6,1,1,14,1,10,2
131,6,1,1,14,1,11,3
132,6,1,1,14,1,12,2
133,6,1,1,14,1,13,2
134,6,1,1,14,1,14,2
135,6,1,1,14,1,15,3
136,6,1,1,14,-1,16,2
137,6,1,1,14,1,17,2
138,6,1,1,14,1,18,0
139,6,1,1,14,-1,19,0
140,6,1,1,14,-1,20,0
141,6,1,1,14,-1,21,0
142,6,1,1,14,-1,22,0
143,6,1,1,14,-1,23,0
144,6,1,1,14,-1,24,1
145,7,0,0,30,1,1,1
146,7,0,0,30,1,2,1
147,7,0,0,30,-1,3,0
148,7,0,0,30,-1,4,0
149,7,0,0,30,-1,5,0
150,7,0,0,30,-1,6,0
151,7,0,0,30,-1,7,0
152,7,0,0,30,-1,8,0
153,7,0,0,30,-1,9,0
154,7,0,0,30,-1,10,0
155,7,0,0,30,-1,11,0
156,7,0,0,30,-1,12,0
157,7,0,0,30,-1,13,0
158,7,0,0,30,-1,14,0
159,7,0,0,30,-1,15,0
160,7,0,0,30,-1,16,0
161,7,0,0,30,-1,17,0
162,7,0,0,30,-1,18,1
163,7,0,0,30,-1,19,1
164,7,0,0,30,-1,20,0
165,7,0,0,30,-1,21,0
166,7,0,0,30,-1,22,0
167,7,0,0,30,-1,23,0
168,7,0,0,30,-1,24,0
169,8,1,0,21,1,1,1
170,8,1,0,21,1,2,0
171,8,1,0,21,1,3,2
172,8,1,0,21,1,4,2
173,8,1,0,21,1,5,3
174,8,1,0,21,1,6,3
175,8,1,0,21,1,7,3
176,8,1,0,21,1,8,3
177,8,1,0,21,-1,9,1
178,8,1,0,21,1,10,3
179,8,1,0,21,1,11,1
180,8,1,0,21,-1,12,1
181,8,1,0,21,-1,13,0
182,8,1,0,21,-1,14,0
183,8,1,0,21,-1,15,2
184,8,1,0,21,-1,16,1
185,8,1,0,21,-1,17,0
186,8,1,0,21,-1,18,0
187,8,1,0,21,-1,19,0
188,8,1,0,21,-1,20,1
189,8,1,0,21,-1,21,1
190,8,1,0,21,-1,22,1
191,8,1,0,21,-1,23,1
192,8,1,0,21,-1,24,1
193,9,1,0,37,-1,1,0
194,9,1,0,37,-1,2,0
195,9,1,0,37,-1,3,1
196,9,1,0,37,-1,4,0
197,9,1,0,37,-1,5,0
198,9,1,0,37,-1,6,0
199,9,1,0,37,-1,7,1
200,9,1,0,37,-1,8,1
201,9,1,0,37,-1,9,0
202,9,1,0,37,-1,10,0
203,9,1,0,37,-1,11,1
204,9,1,0,37,-1,12,0
205,9,1,0,37,-1,13,1
206,9,1,0,37,-1,14,1
207,9,1,0,37,-1,15,0
208,9,1,0,37,-1,16,0
209,9,1,0,37,-1,17,0
210,9,1,0,37,-1,18,0
211,9,1,0,37,-1,19,0
212,9,1,0,37,-1,20,1
213,9,1,0,37,-1,21,0
214,9,1,0,37,-1,22,0
215,9,1,0,37,-1,23,2
216,9,1,0,37,-1,24,1
217,10,1,1,10,1,1,1
218,10,1,1,10,1,2,0
219,10,1,1,10,1,3,1
220,10,1,1,10,1,4,0
221,10,1,1,10,1,5,1
222,10,1,1,10,1,6,0
223,10,1,1,10,1,7,0
224,10,1,1,10,1,8,1
225,10,1,1,10,1,9,2
226,10,1,1,10,1,10,3
227,10,1,1,10,1,11,3
228,10,1,1,10,1,12,3
229,10,1,1,10,1,13,3
230,10,1,1,10,1,14,3
231,10,1,1,10,1,15,3
232,10,1,1,10,1,16,1
233,10,1,1,10,1,17,1
234,10,1,1,10,1,18,0
235,10,1,1,10,1,19,2
236,10,1,1,10,-1,20,1
237,10,1,1,10,1,21,0
238,10,1,1,10,1,22,0
239,10,1,1,10,-1,23,0
240,10,1,1,10,-1,24,1
241,11,1,0,38,-1,1,0
242,11,1,0,38,-1,2,1
243,11,1,0,38,-1,3,2
244,11,1,0,38,-1,4,1
