,cust,grade,t,y
1,1,1,1,0
2,1,1,2,2
3,1,1,3,0
4,1,1,4,0
5,1,1,5,0
6,1,1,6,0
7,1,1,7,1
8,1,1,8,0
9,1,1,9,0
10,1,1,10,0
11,1,1,11,1
12,1,1,12,0
13,2,0,1,0
14,2,0,2,0
15,2,0,3,0
16,2,0,4,0
17,2,0,5,0
18,2,0,6,1
19,2,0,7,0
20,2,0,8,0
21,2,0,9,0
22,2,0,10,1
23,2,0,11,2
24,2,0,12,1
25,3,1,1,1
26,3,1,2,0
27,3,1,3,0
28,3,1,4,2
29,3,1,5,2
30,3,1,6,0
31,3,1,7,0
32,3,1,8,0
33,3,1,9,0
34,3,1,10,1
35,3,1,11,1
36,3,1,12,2
37,4,1,1,0
38,4,1,2,2
39,4,1,3,1
40,4,1,4,0
41,4,1,5,0
42,4,1,6,2
43,4,1,7,1
44,4,1,8,2
45,4,1,9,1
46,4,1,10,1
47,4,1,11,2
48,4,1,12,2
49,5,1,1,0
50,5,1,2,2
51,5,1,3,2
52,5,1,4,2
53,5,1,5,2
54,5,1,6,2
55,5,1,7,1
56,5,1,8,0
57,5,1,9,1
58,5,1,10,0
59,5,1,11,1
60,5,1,12,0
61,6,1,1,0
62,6,1,2,1
63,6,1,3,1
64,6,1,4,0
65,6,1,5,0
66,6,1,6,0
67,6,1,7,0
68,6,1,8,1
69,6,1,9,0
70,6,1,10,0
71,6,1,11,1
72,6,1,12,1
73,7,1,1,1
74,7,1,2,1
75,7,1,3,0
76,7,1,4,0
77,7,1,5,0
78,7,1,6,0
79,7,1,7,0
80,7,1,8,2
81,7,1,9,2
82,7,1,10,1
83,7,1,11,1
84,7,1,12,1
85,8,1,1,1
86,8,1,2,1
87,8,1,3,1
88,8,1,4,1
89,8,1,5,1
90,8,1,6,0
91,8,1,7,1
92,8,1,8,1
93,8,1,9,1
94,8,1,10,0
95,8,1,11,0
96,8,1,12,0
97,9,1,1,0
98,9,1,2,0
99,9,1,3,0
100,9,1,4,1
101,9,1,5,1
102,9,1,6,0
103,9,1,7,0
104,9,1,8,1
105,9,1,9,1
106,9,1,10,0
107,9,1,11,1
108,9,1,12,1
109,10,1,1,1
110,10,1,2,1
111,10,1,3,2
112,10,1,4,0
113,10,1,5,0
114,10,1,6,2
115,10,1,7,2
116,10,1,8,2
117,10,1,9,0
118,10,1,10,1
119,10,1,11,1
120,10,1,12,0
121,11,0,1,0
122,11,0,2,0
123,11,0,3,0
124,11,0,4,0
125,11,0,5,0
126,11,0,6,0
127,11,0,7,0
128,11,0,8,0
129,11,0,9,0
130,11,0,10,0
131,11,0,11,0
132,11,0,12,0
133,12,1,1,0
134,12,1,2,1
135,12,1,3,0
136,12,1,4,0
137,12,1,5,2
138,12,1,6,2
139,12,1,7,3
140,12,1,8,3
